id,type,question,faq_id_reference,expected_keywords,expected_answer_summary,difficulty,expected_behavior,answer_model,latency_seconds,keywords_proportion,similarity_answer,manual_pertinence,manual_hallucination,exactitude_score,hallucination_flag,pertinence_norm,latence_score,hallucinations_score,complexite_score,global_score
GS001,direct_match,Comment obtenir un acte de naissance ?,EC001,"['service-public.fr', 'mairie', 'lieu de naissance', 'gratuit', ""pièce d'identité""]","Demande en ligne, par courrier ou en mairie du lieu de naissance, gratuite, avec pièce d'identité",facile,,"faire la demande en ligne sur le site service-public.fr, par courrier à la mairie du lieu de naissance, ou directement au guichet.",6.096849992998614,0.6,0.6257990002632141,2,False,0.6128995001316071,False,1.0,0.14090758589889155,1.0,0.7,0.7100059879243158
GS002,direct_match,Quels sont les horaires de la déchetterie ?,DEC006,"['lundi', 'samedi', '9h', '12h', '14h', '18h', '17h', 'hiver']","Lundi au samedi 9h-12h et 14h-18h (17h en hiver), fermée dimanche et jours fériés",facile,,du lundi au samedi de 9h à 18h.,0.6989769290012191,0.5,0.7691667079925537,1,False,0.6345833539962769,False,0.5,0.5885895110935214,1.0,0.7,0.6836634328629113
GS003,direct_match,Comment s'inscrire sur les listes électorales ?,ELE001,"['service-public.fr', 'mairie', ""pièce d'identité"", 'justificatif de domicile']","En ligne, en mairie ou par courrier avec pièce d'identité et justificatif de domicile",facile,,"en ligne sur service-public.fr, en mairie, ou par courrier.",0.6390120050018595,0.5,0.6847711801528931,1,False,0.5923855900764465,False,0.5,0.6101236580014345,1.0,0.7,0.6742342257231492
GS004,direct_match,Comment demander un permis de construire ?,URB001,"['mairie', '4 exemplaires', 'Cerfa', 'plan', '2 mois', '3 mois']","Dépôt en mairie en 4 exemplaires, formulaire Cerfa, plans requis, délai 2-3 mois",moyen,,"en ligne sur le site de l'ANTS (ants.gouv.fr). Vous aurez besoin : d'une photo numérique, d'un justificatif de domicile, et d'une déclaration de perte ou d'un récépissé de dépôt de plainte. Coût : 25€. Délai : 2 à 3 semaines.

Le permis de construire se dépose à la mairie en 4 exemplaires",0.6379738499999803,0.3333333333333333,0.45688003301620483,1,False,0.39510668317476905,False,0.5,0.6105103570487478,1.0,0.7,0.6151085585097429
GS005,direct_match,Quels déchets mettre dans le bac jaune ?,DEC004,"['emballages plastiques', 'bouteilles', 'métalliques', 'conserves', 'cartons', 'papiers']","Emballages plastiques, métalliques, briques alimentaires, papiers-cartons, vides mais non lavés",facile,,"emballages plastiques (bouteilles, flacons, pots, barquettes, films), emballages métalliques (conserves, canettes, aérosols vides), briques alimentaires, et tous les papiers-cartons",0.6381919090017618,1.0,0.7612482309341431,2,False,0.8806241154670715,False,1.0,0.6104290922846479,1.0,0.7,0.8607515984828186
GS006,direct_match,Comment faire une procuration pour voter ?,ELE002,"['maprocuration.gouv.fr', 'commissariat', 'gendarmerie', 'même commune']","En ligne sur maprocuration.gouv.fr puis validation en commissariat/gendarmerie, mandataire même commune",moyen,,"en ligne sur maprocuration.gouv.fr puis validation dans un commissariat, une gendarmerie ou un consulat. Vous pouvez aussi vous y rendre directement avec votre pièce d'identité. Le mandataire doit être inscrit dans la même commune. Une personne peut détenir 1 procuration établie en France (3 si établie à l'étranger).

Pour voter, présentez une pièce d'identité avec photo",0.636377030001313,1.0,0.7354066371917725,2,False,0.8677033185958862,False,1.0,0.6111061092071169,1.0,0.7,0.8569769119598334
GS007,direct_match,Comment inscrire mon enfant à la crèche ?,ENF001,"['Relais Petite Enfance', 'dossier', ""pièces d'identité"", 'commission']","Inscription au Relais Petite Enfance avec dossier complet, attribution en commission",moyen,,"Constituez un dossier avec : pièces d'identité des parents, livret de famille, justificatif de domicile, justificatifs de revenus, carnet de santé de l'enfant.",0.5854528230011056,0.5,0.5938370227813721,1,False,0.546918511390686,False,0.5,0.6307346301904454,1.0,0.7,0.6636857479457726
GS008,direct_match,Comment créer une association loi 1901 ?,ASS001,"['greffe', 'préfecture', 'statuts', '44€', 'Journal Officiel']","Déclaration au greffe des associations, statuts signés, publication JO à 44€",moyen,,déposez une déclaration au greffe des associations,0.6908425280016672,0.2,0.7613967657089233,1,False,0.48069838285446165,False,0.5,0.5914211308499888,1.0,0.7,0.6379226844838368
GS009,direct_match,Comment obtenir la carte mobilité inclusion ?,SOC003,"['MDPH', 'Cerfa', '4 à 6 mois', 'gratuite']","Demande à la MDPH via formulaire Cerfa, délai 4-6 mois, gratuit",moyen,,via le formulaire Cerfa 15692.,0.6366173589995014,0.25,0.609876275062561,1,False,0.4299381375312805,False,0.5,0.6110163713595956,1.0,0.7,0.6256338969633235
GS010,direct_match,Quels sont les tarifs de la cantine scolaire ?,ENF002,"['quotient familial', '1,50€', '5,50€', 'CAF']","Tarifs selon quotient familial CAF de 1,50€ à 5,50€ par repas",facile,,"adulte 4,50€, enfant 3€, carnet 10 entrées 35€/25€.",0.6390192870021565,0.0,0.4324926733970642,0,False,0.2162463366985321,False,0.0,0.6101209472824735,1.0,0.7,0.46139204310193066
